Location;Time_of_day;Temperature;Real_feels;Precipitation_prob;Feels_difference;Category
Mthatha;Overnight;7;6;;1;Low
Mthatha;Morning;8;6;80;2;High
Mthatha;Afternoon;10;9;70;1;High
Mthatha;Evening;8;7;90;1;Very High
Mthatha;Overnight;8;6;70;2;High
Mthatha;Morning;9;7;40;2;Moderate
Mthatha;Afternoon;13;12;40;1;Moderate
Mthatha;Evening;8;7;0;1;Low
Mthatha;Overnight;5;4;0;1;Low
Mthatha;Morning;7;6;10;1;Low
Mthatha;Afternoon;17;17;0;0;Low
Mthatha;Evening;9;9;0;0;Low
Mthatha;Overnight;7;6;20;1;Low
Mthatha;Morning;8;8;10;0;Low
Mthatha;Afternoon;21;21;0;0;Low
Mthatha;Evening;12;12;0;0;Low
Mthatha;Overnight;8;7;10;1;Low
Mthatha;Morning;11;10;20;1;Low
Mthatha;Afternoon;24;24;0;0;Low
Mthatha;Evening;13;13;0;0;Low
Mthatha;Overnight;10;10;0;0;Low
Mthatha;Morning;12;11;0;1;Low
Mthatha;Afternoon;26;26;0;0;Low
Mthatha;Evening;15;15;0;0;Low
Mthatha;Overnight;11;11;0;0;Low
Mthatha;Morning;14;14;0;0;Low
Mthatha;Afternoon;24;24;0;0;Low
Mthatha;Evening;13;13;0;0;Low
Mthatha;Overnight;11;11;10;0;Low
Mthatha;Morning;14;13;10;1;Low
Mthatha;Afternoon;25;25;10;0;Low
Mthatha;Evening;13;13;20;0;Low
Mthatha;Overnight;12;12;60;0;High
Mthatha;Morning;12;12;60;0;High
Mthatha;Afternoon;15;14;30;1;Moderate
Mthatha;Evening;13;12;30;1;Moderate
Mthatha;Overnight;12;12;20;0;Low
Mthatha;Morning;13;12;20;1;Low
Mthatha;Afternoon;21;21;20;0;Low
Mthatha;Evening;14;13;10;1;Low
